"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandBuilder.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 0, 17, 125
"d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandSubcommandBuilder.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\workspace\brainless-jellyfish\src\structures\ClientSlashCommandSubcommandGroupBuilder.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\workspace\brainless-jellyfish\src\structures\interface\executeFunctions.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 8, 9, 31
"d:\workspace\brainless-jellyfish\src\test.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workspace\brainless-jellyfish\src\utils\Logger.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 33, 16, 129
"d:\workspace\brainless-jellyfish\src\utils\builder\EmbedComponentBuilder.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 20
"d:\workspace\brainless-jellyfish\src\utils\defaultFunctions.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\workspace\brainless-jellyfish\src\utils\enums\ConnectingWordMessageType.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\workspace\brainless-jellyfish\src\utils\enums\LogMessageType.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\workspace\brainless-jellyfish\src\utils\enums\button.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\workspace\brainless-jellyfish\src\utils\error\ClientError.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 98, 23, 176
"d:\workspace\brainless-jellyfish\src\utils\error\ClientErrorHandler.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 0, 0, 4, 22, 122
"d:\workspace\brainless-jellyfish\src\utils\functions.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 2, 26, 198
"d:\workspace\brainless-jellyfish\tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 17
"d:\workspace\brainless-jellyfish\webpack.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"Total", "-", 15127, 2716, 43, 27527, 20, 26, 59, 1092, 288, 718, 47616
